,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
273,cuerpos,0.0,0.0,0.0,0.0,0.0
274,culminate,0.0,0.0,0.0,0.0,0.0
275,cuarentena,0.0,0.0,0.0,0.0,0.0
276,culpables,1.0,0.0,0.0,0.0,1.0
277,cuerpo,0.0,0.0,0.0,0.0,0.0
278,cumplir,0.0,0.0,0.0,1.0,0.0
279,culpable,1.0,0.0,0.0,0.0,1.0
280,decaer,0.0,0.0,1.0,0.0,1.0
281,daño,0.0,0.0,1.0,0.0,1.0
282,decepcionada,0.0,0.0,1.0,0.0,1.0
283,decepcionadas,0.0,0.0,1.0,0.0,1.0
284,decepcionados,0.0,0.0,1.0,0.0,1.0
285,defectuoso,0.0,0.0,0.0,0.0,0.0
286,decepcionado,0.0,0.0,1.0,0.0,1.0
287,decepcionante,0.0,0.0,1.0,0.0,1.0
288,degeneración,0.0,0.0,0.0,0.0,1.0
289,degradante,0.0,0.0,0.0,0.0,1.0
290,deleite,0.0,0.0,0.0,1.0,0.0
291,deleites,0.0,0.0,0.0,1.0,0.0
292,delicada,0.0,0.0,0.0,1.0,0.0
293,delicadas,0.0,0.0,0.0,1.0,0.0
294,delicado,0.0,0.0,0.0,1.0,0.0
295,delicados,0.0,0.0,0.0,1.0,0.0
296,denuncias,0.0,0.0,0.0,0.0,0.0
297,denuncia,0.0,0.0,0.0,0.0,0.0
298,depresiva,0.0,0.0,1.0,0.0,0.0
299,depresivas,0.0,0.0,1.0,0.0,0.0
300,depresivos,0.0,0.0,1.0,0.0,0.0
301,derrotada,0.0,0.0,1.0,0.0,1.0
302,derrotados,0.0,0.0,1.0,0.0,1.0
303,depresivo,0.0,0.0,1.0,0.0,0.0
304,deprimente,0.0,0.0,1.0,0.0,1.0
305,deprimir,0.0,0.0,1.0,0.0,1.0
306,derrotado,0.0,0.0,1.0,0.0,1.0
307,desafiantes,0.0,0.0,0.0,0.0,0.0
308,desafíos,0.0,0.0,0.0,0.0,0.0
